profile_id,role_category,skills,skill_count,experience_years,source,raw_skills,normalized_skills,normalized_experience
kerry407,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Senior Level (5-8 years)
Omosofe,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
datascientist-kenn,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Senior Level (5-8 years)
chipax1994,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
codequinn,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Entry Level (0-2 years)
AbuchiKings,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
ovac,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
JanetKalu,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Senior Level (5-8 years)
maesterzak,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Senior Level (5-8 years)
Tony-smile,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
akinyeraakintunde,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
chipax1994,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Entry Level (0-2 years)
LloydCoder,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Entry Level (0-2 years)
iykazrji,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
Flutter-PH-community,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,8+,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Lead Level (8+ years)
Ekong05,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
golangnigeria,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Entry Level (0-2 years)
Othniel2471,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Mid Level (3-5 years)
petidesoftwares,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub,"['Communication', 'Git', 'Problem Solving']","['Communication', 'Git', 'Problem Solving']",Senior Level (5-8 years)
SYN_0001,Product Manager,"['JIRA', 'Customer Discovery', 'Problem Solving', 'Leadership', 'Agile', 'User Research', 'Scrum', 'Stakeholder Management']",8,8+,Synthetic,"['JIRA', 'Customer Discovery', 'Problem Solving', 'Leadership', 'Agile', 'User Research', 'Scrum', 'Stakeholder Management']","['Jira', 'Customer Discovery', 'Problem Solving', 'Leadership', 'Agile', 'User Research', 'Scrum', 'Stakeholder Management']",Lead Level (8+ years)
SYN_0002,Cybersecurity Analyst,"['Vulnerability Scanning', 'SIEM', 'Compliance', 'Leadership', 'Python', 'Critical Thinking', 'Firewalls', 'NIST', 'Cryptography', 'Penetration Testing', 'Wireshark']",11,0-2,Synthetic,"['Vulnerability Scanning', 'SIEM', 'Compliance', 'Leadership', 'Python', 'Critical Thinking', 'Firewalls', 'NIST', 'Cryptography', 'Penetration Testing', 'Wireshark']","['Vulnerability Scanning', 'Siem', 'Compliance', 'Leadership', 'Python', 'Critical Thinking', 'Firewalls', 'Nist', 'Cryptography', 'Penetration Testing', 'Wireshark']",Entry Level (0-2 years)
SYN_0003,Software Developer,"['Linux', 'Debugging', 'Java', 'Leadership', 'Algorithms', 'SQL', 'Version Control', 'Time Management', 'Documentation', 'REST APIs', 'Data Structures', 'Object-Oriented Programming']",12,5-8,Synthetic,"['Linux', 'Debugging', 'Java', 'Leadership', 'Algorithms', 'SQL', 'Version Control', 'Time Management', 'Documentation', 'REST APIs', 'Data Structures', 'Object-Oriented Programming']","['Linux', 'Debugging', 'Java', 'Leadership', 'Algorithms', 'SQL', 'Git', 'Time Management', 'Documentation', 'Rest Apis', 'Data Structures', 'Object-Oriented Programming']",Senior Level (5-8 years)
SYN_0004,Network Engineer,"['Leadership', 'Routing', 'TCP/IP', 'Network Security', 'Cisco', 'Critical Thinking', 'Load Balancing', 'DHCP', 'DNS']",9,0-2,Synthetic,"['Leadership', 'Routing', 'TCP/IP', 'Network Security', 'Cisco', 'Critical Thinking', 'Load Balancing', 'DHCP', 'DNS']","['Leadership', 'Routing', 'Tcp/Ip', 'Network Security', 'Cisco', 'Critical Thinking', 'Load Balancing', 'Dhcp', 'Dns']",Entry Level (0-2 years)
SYN_0005,Product Manager,"['Roadmapping', 'JIRA', 'Stakeholder Management', 'Leadership', 'Product Metrics', 'Data Analysis', 'Market Research', 'Creativity', 'MVP', 'Product Strategy', 'Teamwork']",11,0-2,Synthetic,"['Roadmapping', 'JIRA', 'Stakeholder Management', 'Leadership', 'Product Metrics', 'Data Analysis', 'Market Research', 'Creativity', 'MVP', 'Product Strategy', 'Teamwork']","['Roadmapping', 'Jira', 'Stakeholder Management', 'Leadership', 'Product Metrics', 'Data Science', 'Market Research', 'Creativity', 'Mvp', 'Product Strategy', 'Teamwork']",Entry Level (0-2 years)
SYN_0006,Backend Developer,"['Microservices', 'Linux', 'Database Design', 'Java', 'REST APIs', 'Adaptability', 'Node.js', 'Teamwork']",8,5-8,Synthetic,"['Microservices', 'Linux', 'Database Design', 'Java', 'REST APIs', 'Adaptability', 'Node.js', 'Teamwork']","['Microservices', 'Linux', 'Database Design', 'Java', 'Rest Apis', 'Adaptability', 'Node.js', 'Teamwork']",Senior Level (5-8 years)
