profile_id,role_category,skills,skill_count,experience_years,source
kerry407,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub
Omosofe,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
datascientist-kenn,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub
chipax1994,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
codequinn,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub
AbuchiKings,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
ovac,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
JanetKalu,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub
maesterzak,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub
Tony-smile,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
akinyeraakintunde,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
chipax1994,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub
LloydCoder,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub
iykazrji,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
Flutter-PH-community,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,8+,GitHub
Ekong05,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
golangnigeria,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,0-2,GitHub
Othniel2471,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,3-5,GitHub
petidesoftwares,Software Developer,"['Communication', 'Git', 'Problem Solving']",3,5-8,GitHub
SYN_0001,Product Manager,"['JIRA', 'Customer Discovery', 'Problem Solving', 'Leadership', 'Agile', 'User Research', 'Scrum', 'Stakeholder Management']",8,8+,Synthetic
SYN_0002,Cybersecurity Analyst,"['Vulnerability Scanning', 'SIEM', 'Compliance', 'Leadership', 'Python', 'Critical Thinking', 'Firewalls', 'NIST', 'Cryptography', 'Penetration Testing', 'Wireshark']",11,0-2,Synthetic
SYN_0003,Software Developer,"['Linux', 'Debugging', 'Java', 'Leadership', 'Algorithms', 'SQL', 'Version Control', 'Time Management', 'Documentation', 'REST APIs', 'Data Structures', 'Object-Oriented Programming']",12,5-8,Synthetic
SYN_0004,Network Engineer,"['Leadership', 'Routing', 'TCP/IP', 'Network Security', 'Cisco', 'Critical Thinking', 'Load Balancing', 'DHCP', 'DNS']",9,0-2,Synthetic
SYN_0005,Product Manager,"['Roadmapping', 'JIRA', 'Stakeholder Management', 'Leadership', 'Product Metrics', 'Data Analysis', 'Market Research', 'Creativity', 'MVP', 'Product Strategy', 'Teamwork']",11,0-2,Synthetic
SYN_0006,Backend Developer,"['Microservices', 'Linux', 'Database Design', 'Java', 'REST APIs', 'Adaptability', 'Node.js', 'Teamwork']",8,5-8,Synthetic
SYN_0007,Full Stack Developer,"['Communication', 'Python', 'JavaScript', 'Critical Thinking', 'HTML/CSS', 'Next.js', 'REST APIs', 'TypeScript', 'Creativity', 'PostgreSQL', 'Git', 'React']",12,5-8,Synthetic
SYN_0008,IT Support Specialist,"['Networking Basics', 'Active Directory', 'Problem Solving', 'Windows', 'Office 365', 'Remote Support', 'Customer Service', 'Ticketing Systems', 'Critical Thinking', 'Software Installation']",10,3-5,Synthetic
SYN_0009,UI/UX Designer,"['Photoshop', 'Problem Solving', 'Illustrator', 'Sketch', 'Critical Thinking', 'Adobe XD', 'User Research', 'User Flows', 'Information Architecture', 'Teamwork']",10,3-5,Synthetic
