job_id,job_title,category,company,location,experience_required,salary_range,description,required_skills,skill_count,source,date_collected
JOB_0001,Platform Engineer,DevOps Engineer,Kobo360,"Kano, Nigeria",2-4 years,"₦3,000,000 - ₦5,000,000 per year","Job Title: Platform Engineer
        Location: Lagos, Nigeria (Hybrid)
        Company: Kobo360
        
        About the Role:
        We are looking for a talented Platform Engineer to help us build innovative products for the African market.
        
        Required Skills:
        • Linux, Kubernetes, Ansible, CI/CD, Prometheus and 9 other technical skills
        
        Experience Required: 2-4 years
        
        What You'll Do:
        • Build scalable and reliable software solutions
        • Work with product managers and designers to define requirements
        • Write clean, maintainable, and well-documented code
        • Troubleshoot and debug production issues
        
        What We Offer:
        • ['₦3,000,000 - ₦5,000,000 per year', '₦5,000,000 - ₦8,000,000 per year', '₦8,000,000 - ₦12,000,000 per year', '₦12,000,000 - ₦18,000,000 per year', 'Competitive salary based on experience']
        • Health insurance
        • Learning and development opportunities
        • Modern office with great amenities","['Linux', 'Kubernetes', 'Ansible', 'CI/CD', 'Prometheus', 'Python', 'Grafana', 'Git', 'AWS', 'Terraform', 'Jenkins', 'Bash', 'Problem Solving', 'Communication']",14,Generated Dataset,2026-05-05
JOB_0002,Cloud Solutions Architect,Cloud Engineer,Termii,"Ibadan, Nigeria",3-5 years,"₦5,000,000 - ₦8,000,000 per year","Job Title: Cloud Solutions Architect
        Location: Lagos, Nigeria (Hybrid)
        Company: Termii
        
        About the Role:
        We are looking for a talented Cloud Solutions Architect to help us build innovative products for the African market.
        
        Required Skills:
        • CI/CD, Serverless, Linux, Terraform, Azure and 8 other technical skills
        
        Experience Required: 3-5 years
        
        What You'll Do:
        • Build scalable and reliable software solutions
        • Work with product managers and designers to define requirements
        • Write clean, maintainable, and well-documented code
        • Troubleshoot and debug production issues
        
        What We Offer:
        • ['₦3,000,000 - ₦5,000,000 per year', '₦5,000,000 - ₦8,000,000 per year', '₦8,000,000 - ₦12,000,000 per year', '₦12,000,000 - ₦18,000,000 per year', 'Competitive salary based on experience']
        • Health insurance
        • Learning and development opportunities
        • Modern office with great amenities","['CI/CD', 'Serverless', 'Linux', 'Terraform', 'Azure', 'Python', 'AWS', 'CloudFormation', 'Kubernetes', 'Docker', 'Networking', 'Problem Solving', 'Communication']",13,Generated Dataset,2026-05-05
JOB_0003,Build Engineer,DevOps Engineer,Kippa,"Lagos, Nigeria",2-4 years,"₦5,000,000 - ₦8,000,000 per year","Job Title: Build Engineer
        Location: Lagos, Nigeria (Hybrid)
        Company: Kippa
        
        About the Role:
        We are looking for a talented Build Engineer to help us build innovative products for the African market.
        
        Required Skills:
        • Bash, Python, Prometheus, Kubernetes, Grafana and 6 other technical skills
        
        Experience Required: 2-4 years
        
        What You'll Do:
        • Build scalable and reliable software solutions
        • Work with product managers and designers to define requirements
        • Write clean, maintainable, and well-documented code
        • Troubleshoot and debug production issues
        
        What We Offer:
        • ['₦3,000,000 - ₦5,000,000 per year', '₦5,000,000 - ₦8,000,000 per year', '₦8,000,000 - ₦12,000,000 per year', '₦12,000,000 - ₦18,000,000 per year', 'Competitive salary based on experience']
        • Health insurance
        • Learning and development opportunities
        • Modern office with great amenities","['Bash', 'Python', 'Prometheus', 'Kubernetes', 'Grafana', 'CI/CD', 'Terraform', 'Docker', 'Git', 'Communication', 'Problem Solving']",11,Generated Dataset,2026-05-05
JOB_0004,PHP Developer,Software Developer,Carbon,"Abuja, Nigeria",3-5 years,Competitive salary based on experience,"Carbon is seeking an experienced PHP Developer to join our growing technology team in Lagos, Nigeria.
        
        Requirements:
        • Strong proficiency in SQL, Java, Debugging, Data Structures, Algorithms and 9 other technical skills
        • 3-5 years of relevant experience
        • Bachelor's degree in Computer Science, Engineering, or related field
        • Strong problem-solving and analytical skills
        • Excellent communication and collaboration abilities
        
        Responsibilities:
        • Design, develop, and maintain high-quality software solutions
        • Collaborate with cross-functional teams to deliver projects on time
        • Participate in code reviews and technical discussions
        • Mentor junior developers and contribute to team growth
        • Stay current with emerging technologies and best practices
        
        Benefits:
        • ₦8,000,000 - ₦12,000,000 per year
        • Health insurance and wellness benefits
        • Flexible work arrangements
        • Professional development budget
        • Annual team retreats and events","['SQL', 'Java', 'Debugging', 'Data Structures', 'Algorithms', 'Linux', 'Git', 'REST APIs', 'JavaScript', 'Unit Testing', 'Object-Oriented Programming', 'Python', 'Communication', 'Teamwork']",14,Generated Dataset,2026-05-05
JOB_0005,Build Engineer,DevOps Engineer,Carbon,"Abuja, Nigeria",3-5 years,"₦3,000,000 - ₦5,000,000 per year","Job Title: Build Engineer
        Location: Lagos, Nigeria (Hybrid)
        Company: Carbon
        
        About the Role:
        We are looking for a talented Build Engineer to help us build innovative products for the African market.
        
        Required Skills:
        • Prometheus, Terraform, CI/CD, AWS, Linux and 5 other technical skills
        
        Experience Required: 3-5 years
        
        What You'll Do:
        • Build scalable and reliable software solutions
        • Work with product managers and designers to define requirements
        • Write clean, maintainable, and well-documented code
        • Troubleshoot and debug production issues
        
        What We Offer:
        • ['₦3,000,000 - ₦5,000,000 per year', '₦5,000,000 - ₦8,000,000 per year', '₦8,000,000 - ₦12,000,000 per year', '₦12,000,000 - ₦18,000,000 per year', 'Competitive salary based on experience']
        • Health insurance
        • Learning and development opportunities
        • Modern office with great amenities","['Prometheus', 'Terraform', 'CI/CD', 'AWS', 'Linux', 'Grafana', 'Bash', 'Git', 'Problem Solving', 'Teamwork']",10,Generated Dataset,2026-05-05
JOB_0006,Software Developer,Software Developer,Microtraction,"Ibadan, Nigeria",2-4 years,"₦3,000,000 - ₦5,000,000 per year","Microtraction is seeking an experienced Software Developer to join our growing technology team in Lagos, Nigeria.
        
        Requirements:
        • Strong proficiency in Unit Testing, Object-Oriented Programming, Debugging, JavaScript, SQL and 9 other technical skills
        • 2-4 years of relevant experience
        • Bachelor's degree in Computer Science, Engineering, or related field
        • Strong problem-solving and analytical skills
        • Excellent communication and collaboration abilities
        
        Responsibilities:
        • Design, develop, and maintain high-quality software solutions
        • Collaborate with cross-functional teams to deliver projects on time
        • Participate in code reviews and technical discussions
        • Mentor junior developers and contribute to team growth
        • Stay current with emerging technologies and best practices
        
        Benefits:
        • Competitive salary based on experience
        • Health insurance and wellness benefits
        • Flexible work arrangements
        • Professional development budget
        • Annual team retreats and events","['Unit Testing', 'Object-Oriented Programming', 'Debugging', 'JavaScript', 'SQL', 'Git', 'Java', 'Data Structures', 'Algorithms', 'REST APIs', 'Linux', 'Python', 'Problem Solving', 'Teamwork']",14,Generated Dataset,2026-05-05
JOB_0007,Python Developer,Software Developer,Deloitte Nigeria,"Abuja, Nigeria",0-2 years,"₦8,000,000 - ₦12,000,000 per year","Deloitte Nigeria is seeking an experienced Python Developer to join our growing technology team in Lagos, Nigeria.
        
        Requirements:
        • Strong proficiency in Debugging, Data Structures, Python, Linux, JavaScript and 6 other technical skills
        • 0-2 years of relevant experience
        • Bachelor's degree in Computer Science, Engineering, or related field
        • Strong problem-solving and analytical skills
        • Excellent communication and collaboration abilities
        
        Responsibilities:
        • Design, develop, and maintain high-quality software solutions
        • Collaborate with cross-functional teams to deliver projects on time
        • Participate in code reviews and technical discussions
        • Mentor junior developers and contribute to team growth
        • Stay current with emerging technologies and best practices
        
        Benefits:
        • ₦12,000,000 - ₦18,000,000 per year
        • Health insurance and wellness benefits
        • Flexible work arrangements
        • Professional development budget
        • Annual team retreats and events","['Debugging', 'Data Structures', 'Python', 'Linux', 'JavaScript', 'Object-Oriented Programming', 'Git', 'Java', 'REST APIs', 'Teamwork', 'Communication']",11,Generated Dataset,2026-05-05
JOB_0008,Technical Product Manager,Product Manager,Kobo360,"Abuja, Nigeria",2-4 years,"₦5,000,000 - ₦8,000,000 per year","Job Title: Technical Product Manager
        Location: Lagos, Nigeria (Hybrid)
        Company: Kobo360
        
        About the Role:
        We are looking for a talented Technical Product Manager to help us build innovative products for the African market.
        
        Required Skills:
        • Stakeholder Management, MVP, Roadmapping, JIRA, Data Analysis and 6 other technical skills
        
        Experience Required: 2-4 years
        
        What You'll Do:
        • Build scalable and reliable software solutions
        • Work with product managers and designers to define requirements
        • Write clean, maintainable, and well-documented code
        • Troubleshoot and debug production issues
        
        What We Offer:
        • ['₦3,000,000 - ₦5,000,000 per year', '₦5,000,000 - ₦8,000,000 per year', '₦8,000,000 - ₦12,000,000 per year', '₦12,000,000 - ₦18,000,000 per year', 'Competitive salary based on experience']
        • Health insurance
        • Learning and development opportunities
        • Modern office with great amenities","['Stakeholder Management', 'MVP', 'Roadmapping', 'JIRA', 'Data Analysis', 'User Research', 'Product Strategy', 'Market Research', 'Scrum', 'Problem Solving', 'Teamwork']",11,Generated Dataset,2026-05-05
JOB_0009,Associate Product Manager,Product Manager,Cowrywise,"Lagos, Nigeria",1-3 years,"₦5,000,000 - ₦8,000,000 per year","Job Title: Associate Product Manager
        Location: Lagos, Nigeria (Hybrid)
        Company: Cowrywise
        
        About the Role:
        We are looking for a talented Associate Product Manager to help us build innovative products for the African market.
        
        Required Skills:
        • Stakeholder Management, Market Research, User Research, Agile, Product Strategy and 6 other technical skills
        
        Experience Required: 1-3 years
        
        What You'll Do:
        • Build scalable and reliable software solutions
        • Work with product managers and designers to define requirements
        • Write clean, maintainable, and well-documented code
        • Troubleshoot and debug production issues
        
        What We Offer:
        • ['₦3,000,000 - ₦5,000,000 per year', '₦5,000,000 - ₦8,000,000 per year', '₦8,000,000 - ₦12,000,000 per year', '₦12,000,000 - ₦18,000,000 per year', 'Competitive salary based on experience']
        • Health insurance
        • Learning and development opportunities
        • Modern office with great amenities","['Stakeholder Management', 'Market Research', 'User Research', 'Agile', 'Product Strategy', 'MVP', 'Data Analysis', 'Roadmapping', 'Scrum', 'Problem Solving', 'Teamwork']",11,Generated Dataset,2026-05-05
JOB_0010,Spring Boot Developer,Backend Developer,Carbon,"Enugu, Nigeria",5+ years,"₦3,000,000 - ₦5,000,000 per year","Carbon is seeking an experienced Spring Boot Developer to join our growing technology team in Lagos, Nigeria.
        
        Requirements:
        • Strong proficiency in Django, Python, Linux, Docker, SQL and 7 other technical skills
        • 5+ years of relevant experience
        • Bachelor's degree in Computer Science, Engineering, or related field
        • Strong problem-solving and analytical skills
        • Excellent communication and collaboration abilities
        
        Responsibilities:
        • Design, develop, and maintain high-quality software solutions
        • Collaborate with cross-functional teams to deliver projects on time
        • Participate in code reviews and technical discussions
        • Mentor junior developers and contribute to team growth
        • Stay current with emerging technologies and best practices
        
        Benefits:
        • ₦3,000,000 - ₦5,000,000 per year
        • Health insurance and wellness benefits
        • Flexible work arrangements
        • Professional development budget
        • Annual team retreats and events","['Django', 'Python', 'Linux', 'Docker', 'SQL', 'API Design', 'Git', 'Redis', 'PostgreSQL', 'MongoDB', 'Problem Solving', 'Communication']",12,Generated Dataset,2026-05-05
